Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1728916968.102264,195081,1728916968,91874880,base_link,-0.009758004602982005,0.019950963948268684,0.699723314964792,-0.7140686401729075,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0004791775718331337,0.0005895390640944242,-0.00033188518136739736,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.1372931,0.41187930000000117,9.7674234,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916968.2017097,195082,1728916968,192052800,base_link,-0.009763839415646541,0.019959615637923353,0.6997264749159586,-0.7140652221507067,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00048792269080877304,-9.05274646356702e-05,-0.0001608612947165966,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.1372931,0.41187930000000117,9.7674234,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916968.3029265,195083,1728916968,292230208,base_link,-0.009801735783223468,0.019979675555099424,0.6996984790985001,-0.714091574581016,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0015839708503335714,0.0006731853354722264,0.0015396405942738056,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.14709975,0.4020726500000012,9.7870367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916968.4025972,195084,1728916968,392407360,base_link,-0.009791048658771086,0.01997953889048987,0.699700698704054,-0.7140895501440583,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-6.337114609777927e-05,-0.00047307496424764384,0.0009961960604414344,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.14709975,0.4020726500000012,9.7870367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916968.5029993,195085,1728916968,492585536,base_link,-0.009785721225041318,0.020019966755077657,0.6996841361501169,-0.7141047193592099,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0005517825484275818,-0.0002165460027754306,0.0006585457595065236,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.14709975,0.4020726500000012,9.7870367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916968.6029491,195086,1728916968,592761408,base_link,-0.009777084605943624,0.02003234580902753,0.6996917900954333,-0.7140969910390632,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00043498119339346886,-0.0004247246542945503,0.0007980205700732768,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.14709975,0.4020726500000012,9.7870367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916968.7027538,195087,1728916968,692938304,base_link,-0.009805114207181151,0.020007738610082263,0.6996817560114151,-0.714107128122859,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0009419228881597519,0.0006906276685185732,0.0009649103740230202,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.14709975,0.4020726500000012,9.7870367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916968.8039463,195088,1728916968,793114688,base_link,-0.009783415865279333,0.019999297080957854,0.6996699914990432,-0.7141191888515555,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.001119979890063405,0.00019887113012373456,0.0006820762064307928,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.14709975,0.4020726500000012,9.7674234,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916968.9041793,195089,1728916968,893290560,base_link,-0.009761999115564295,0.019974045612448803,0.6996584486928012,-0.7141314977284802,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00032179546542465687,-0.0008361313957720995,0.00028393184766173374,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.14709975,0.4020726500000012,9.7674234,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916969.0037901,195090,1728916968,993465920,base_link,-0.009773648458358812,0.01999924782864068,0.6996630110103813,-0.714126163157455,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0014439171645790339,0.00013179145753383626,-0.0008993434021249413,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.14709975,0.4020726500000012,9.7674234,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
