Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1728916723.678305,192641,1728916723,661686592,base_link,-0.0028745070307981363,0.003241288833112219,-0.706862266154922,-0.7073379446504752,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0010037014726549387,0.0005363208474591375,0.0006822376744821667,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.06864655,-0.009806649999998803,9.77723005,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916723.778525,192642,1728916723,761863488,base_link,-0.002866232268572701,0.0032538125572867203,-0.7068437598758552,-0.7073564140806167,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0008251159451901913,-9.552808478474632e-05,-0.001207991037517786,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.06864655,-0.009806649999998803,9.77723005,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916723.8786752,192643,1728916723,862039360,base_link,-0.002858481594777687,0.003256022176170512,-0.7068323319012061,-0.7073678547839615,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.000930295092985034,-0.0005667156074196102,-0.0016309276688843966,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0784532,1.1985663167792674e-15,9.7870367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916723.9794326,192644,1728916723,962215232,base_link,-0.0028522527459934276,0.0032690973220803133,-0.7068180000475449,-0.7073821403355902,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0006472596433013678,0.0003564730286598205,-0.00036551326047629123,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0784532,1.1985663167792674e-15,9.7870367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916724.079655,192645,1728916724,62391616,base_link,-0.0028563293471336776,0.0032521166349896297,-0.706805292820391,-0.7073948990211439,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0004382929764688015,0.0017057702643796802,-0.00010576273780316135,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0784532,1.1985663167792674e-15,9.7870367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916724.1793432,192646,1728916724,162568000,base_link,-0.0028349957316736608,0.0032735691783141005,-0.7068069947007061,-0.7073931854253276,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-8.110329508781433e-05,0.0012562755728140471,-0.0009959974559023978,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0784532,1.1985663167792674e-15,9.7870367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916724.279545,192647,1728916724,262743616,base_link,-0.0028070219692618074,0.0032677879401945926,-0.7068126316037185,-0.7073876914359396,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0004586398135870695,-9.909167420119036e-05,0.0009169976692646742,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0784532,1.1985663167792674e-15,9.7870367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916724.379736,192648,1728916724,362918720,base_link,-0.0027928687470389116,0.003267014887954726,-0.7068309053102952,-0.707369491705793,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0002837528008967638,-0.0011154512176290154,-0.00024156062863767134,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0784532,-0.009806649999998803,9.77723005,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916724.4794292,192649,1728916724,463093312,base_link,-0.002814174305529693,0.0032725245116944192,-0.706853450319809,-0.7073468532320474,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0003034863620996475,-0.00020341679919511082,-0.0001115784980356693,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0784532,-0.009806649999998803,9.77723005,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916724.5805297,192650,1728916724,563267648,base_link,-0.002791336863257215,0.0032601121398136254,-0.7068526883045856,-0.7073477625213299,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-4.6320026740431786e-05,0.00034676678478717793,-0.000809191376902163,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0784532,-0.009806649999998803,9.77723005,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
