Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1728578976.4818575,34717,1728578976,465353088,base_link,0.001401547161045774,0.00027658473622520463,-0.7068810884743972,-0.7073309592571856,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00029390177223831415,0.0004936889163218438,-0.0008008233271539212,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728578976.4961667,34718,1728578976,485523584,base_link,0.001386688218008428,0.00027471819001476837,-0.7068903106392312,-0.7073217728517011,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0010688615730032325,-0.0005673056002706288,0.0011956511298194528,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728578976.5159712,34719,1728578976,504523584,base_link,0.0013935546232846088,0.00027228406362944614,-0.706888964141456,-0.7073231059720301,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00015226031246129423,3.2675859984010465e-05,4.882429493591189e-05,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728578976.5360382,34720,1728578976,524523584,base_link,0.0013885452068870645,0.00027419576772895406,-0.7068901647458562,-0.7073219152157424,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.6870922738453373e-05,0.00013877342280466107,-0.00014914578059688213,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728578976.5551693,34721,1728578976,544523584,base_link,0.0013915485948537238,0.0002698569096190455,-0.706892455905467,-0.7073196212135601,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00027546341880224645,0.00010375826968811455,0.0002257759333588183,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728578976.59555,34722,1728578976,565523584,base_link,0.001405415960621447,0.00026351292157993496,-0.7068914747014223,-0.7073205767976541,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0006470567313954234,0.0012255720794200897,0.000350135756889358,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728578976.604762,34723,1728578976,585692800,base_link,0.0013987026583231128,0.00026772375046057626,-0.7068951505845449,-0.7073169148514128,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0002482295094523579,-0.00037700484972447157,-0.00016468163812533016,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728578976.6157205,34724,1728578976,604692800,base_link,0.001410743393509226,0.0002546601659263947,-0.7068936408742461,-0.7073184045695616,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-7.84542498877272e-05,0.0015174008440226316,0.00015356689982581865,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728578976.6487813,34725,1728578976,624692800,base_link,0.0014179803249358886,0.0002444983815253447,-0.7068994390301264,-0.7073125989626031,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.2385858250781894e-05,0.0018063737079501152,0.0006609687115997074,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728578976.6567686,34726,1728578976,644692800,base_link,0.0014198313316658398,0.00023367594964238892,-0.7069122239862474,-0.7072998211885522,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0005395944463089108,0.0007178125088103118,0.0017737835878506303,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
