Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,radiation_type,field_of_view,min_range,max_range,range
1728578976.3227122,164,1728578976,311452388,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578976.3755424,165,1728578976,345179319,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578976.3907518,166,1728578976,380956172,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578976.4275763,167,1728578976,416355133,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578976.4638717,168,1728578976,452421188,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578976.4973993,169,1728578976,487792730,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578976.5339217,170,1728578976,523279190,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578976.5950706,171,1728578976,559564113,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578976.605672,172,1728578976,595220327,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578976.6494713,173,1728578976,631215095,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578976.6764128,174,1728578976,666878461,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578976.7134414,175,1728578976,702589750,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578976.7501855,176,1728578976,738199949,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578976.7830124,177,1728578976,773779869,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578976.8248742,178,1728578976,809470653,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578976.8811793,179,1728578976,845095872,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578976.8923361,180,1728578976,880729198,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578976.9258304,181,1728578976,916398048,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578976.9644935,182,1728578976,952027797,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578976.9975688,183,1728578976,987670898,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578977.042119,184,1728578977,23297548,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578977.0860503,185,1728578977,59082746,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578977.1096761,186,1728578977,99314689,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578977.1497078,187,1728578977,133401155,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578977.179211,188,1728578977,169850587,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578977.2170393,189,1728578977,205292940,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578977.250671,190,1728578977,240909814,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578977.2977452,191,1728578977,276459932,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578977.3215556,192,1728578977,312225103,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578977.3594615,193,1728578977,347965002,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578977.3933465,194,1728578977,383569955,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578977.4296358,195,1728578977,419237613,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578977.474402,196,1728578977,455003499,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578977.5009856,197,1728578977,491142988,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578977.5418124,198,1728578977,526596784,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578977.5721512,199,1728578977,562732696,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578977.6089485,200,1728578977,598371744,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578977.6444108,201,1728578977,634120941,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578977.7059784,202,1728578977,669934511,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578977.7179124,203,1728578977,705527067,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578977.7703965,204,1728578977,741763353,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578977.7898996,205,1728578977,778695821,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578977.8242123,206,1728578977,813852310,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578977.8768332,207,1728578977,849316120,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578977.9258182,208,1728578977,884777307,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578977.9370182,209,1728578977,920255422,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578977.9873598,210,1728578977,955839395,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578978.0017087,211,1728578977,991519689,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578978.0365243,212,1728578978,27188777,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578978.0980403,213,1728578978,62989711,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578978.109169,214,1728578978,98771572,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578978.1443582,215,1728578978,134368419,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578978.2058864,216,1728578978,170141458,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578978.2174957,217,1728578978,205514430,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578978.2509625,218,1728578978,241203546,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578978.3152003,219,1728578978,276717424,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
