Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,radiation_type,field_of_view,min_range,max_range,range
1728920417.3695817,1778,1728920417,350117206,endeavour/tof/bottom,0,0.0,0.0,99.0,0.2199999988079071
1728920417.4057338,1779,1728920417,385910749,endeavour/tof/bottom,0,0.0,0.0,99.0,0.2199999988079071
1728920417.4420161,1780,1728920417,421500444,endeavour/tof/bottom,0,0.0,0.0,99.0,0.2199999988079071
1728920417.4763577,1781,1728920417,456786394,endeavour/tof/bottom,0,0.0,0.0,99.0,0.21699999272823334
1728920417.5114427,1782,1728920417,491914033,endeavour/tof/bottom,0,0.0,0.0,99.0,0.21699999272823334
1728920417.549399,1783,1728920417,528730392,endeavour/tof/bottom,0,0.0,0.0,99.0,0.21699999272823334
1728920417.5841234,1784,1728920417,564175367,endeavour/tof/bottom,0,0.0,0.0,99.0,0.2029999941587448
1728920417.6196833,1785,1728920417,599731445,endeavour/tof/bottom,0,0.0,0.0,99.0,0.2029999941587448
1728920417.655622,1786,1728920417,635069131,endeavour/tof/bottom,0,0.0,0.0,99.0,0.20399999618530273
1728920417.6911204,1787,1728920417,670639038,endeavour/tof/bottom,0,0.0,0.0,99.0,0.20399999618530273
1728920417.725965,1788,1728920417,705996274,endeavour/tof/bottom,0,0.0,0.0,99.0,0.20399999618530273
1728920417.7634723,1789,1728920417,741381406,endeavour/tof/bottom,0,0.0,0.0,99.0,0.21400000154972076
1728920417.7969055,1790,1728920417,776583194,endeavour/tof/bottom,0,0.0,0.0,99.0,0.21400000154972076
1728920417.8326051,1791,1728920417,813003540,endeavour/tof/bottom,0,0.0,0.0,99.0,0.21400000154972076
1728920417.8681104,1792,1728920417,848385810,endeavour/tof/bottom,0,0.0,0.0,99.0,0.2150000035762787
1728920417.9037395,1793,1728920417,883754253,endeavour/tof/bottom,0,0.0,0.0,99.0,0.2150000035762787
1728920417.9398367,1794,1728920417,920000791,endeavour/tof/bottom,0,0.0,0.0,99.0,0.2150000035762787
1728920417.9802368,1795,1728920417,955345630,endeavour/tof/bottom,0,0.0,0.0,99.0,0.2160000056028366
1728920418.01044,1796,1728920417,990708112,endeavour/tof/bottom,0,0.0,0.0,99.0,0.2160000056028366
1728920418.0460627,1797,1728920418,26188135,endeavour/tof/bottom,0,0.0,0.0,99.0,0.2160000056028366
1728920418.0872827,1798,1728920418,61569213,endeavour/tof/bottom,0,0.0,0.0,99.0,0.21699999272823334
1728920418.116699,1799,1728920418,97106456,endeavour/tof/bottom,0,0.0,0.0,99.0,0.21699999272823334
1728920418.1522555,1800,1728920418,132708072,endeavour/tof/bottom,0,0.0,0.0,99.0,0.21699999272823334
1728920418.204401,1801,1728920418,167965412,endeavour/tof/bottom,0,0.0,0.0,99.0,0.2150000035762787
1728920418.2235003,1802,1728920418,203632116,endeavour/tof/bottom,0,0.0,0.0,99.0,0.2150000035762787
1728920418.258908,1803,1728920418,238939285,endeavour/tof/bottom,0,0.0,0.0,99.0,0.2150000035762787
1728920418.2939649,1804,1728920418,274413347,endeavour/tof/bottom,0,0.0,0.0,99.0,0.2150000035762787
1728920418.3310971,1805,1728920418,309876680,endeavour/tof/bottom,0,0.0,0.0,99.0,0.2150000035762787
1728920418.3651214,1806,1728920418,345305204,endeavour/tof/bottom,0,0.0,0.0,99.0,0.2160000056028366
1728920418.4007285,1807,1728920418,381005764,endeavour/tof/bottom,0,0.0,0.0,99.0,0.2160000056028366
1728920418.4376938,1808,1728920418,417031049,endeavour/tof/bottom,0,0.0,0.0,99.0,0.2160000056028366
1728920418.4727395,1809,1728920418,453340530,endeavour/tof/bottom,0,0.0,0.0,99.0,0.21199999749660492
1728920418.5084329,1810,1728920418,488656997,endeavour/tof/bottom,0,0.0,0.0,99.0,0.21199999749660492
1728920418.544883,1811,1728920418,524190664,endeavour/tof/bottom,0,0.0,0.0,99.0,0.21199999749660492
1728920418.5790422,1812,1728920418,559520483,endeavour/tof/bottom,0,0.0,0.0,99.0,0.20999999344348907
1728920418.6146853,1813,1728920418,594663619,endeavour/tof/bottom,0,0.0,0.0,99.0,0.20999999344348907
1728920418.6599011,1814,1728920418,631071805,endeavour/tof/bottom,0,0.0,0.0,99.0,0.20999999344348907
1728920418.6863356,1815,1728920418,666674852,endeavour/tof/bottom,0,0.0,0.0,99.0,0.21699999272823334
1728920418.721983,1816,1728920418,702117681,endeavour/tof/bottom,0,0.0,0.0,99.0,0.21699999272823334
1728920418.7578943,1817,1728920418,737998485,endeavour/tof/bottom,0,0.0,0.0,99.0,0.20800000429153442
1728920418.797089,1818,1728920418,773549556,endeavour/tof/bottom,0,0.0,0.0,99.0,0.20800000429153442
1728920418.8286972,1819,1728920418,809023141,endeavour/tof/bottom,0,0.0,0.0,99.0,0.20800000429153442
1728920418.8835294,1820,1728920418,844194889,endeavour/tof/bottom,0,0.0,0.0,99.0,0.21799999475479126
1728920418.906284,1821,1728920418,880444049,endeavour/tof/bottom,0,0.0,0.0,99.0,0.21799999475479126
1728920418.9358215,1822,1728920418,915992259,endeavour/tof/bottom,0,0.0,0.0,99.0,0.21799999475479126
1728920418.971252,1823,1728920418,951398849,endeavour/tof/bottom,0,0.0,0.0,99.0,0.2160000056028366
1728920419.007831,1824,1728920418,987245321,endeavour/tof/bottom,0,0.0,0.0,99.0,0.2160000056028366
1728920419.0425723,1825,1728920419,22660493,endeavour/tof/bottom,0,0.0,0.0,99.0,0.2160000056028366
1728920419.096512,1826,1728920419,57896137,endeavour/tof/bottom,0,0.0,0.0,99.0,0.2160000056028366
1728920419.1134062,1827,1728920419,93149900,endeavour/tof/bottom,0,0.0,0.0,99.0,0.2160000056028366
1728920419.148528,1828,1728920419,128485202,endeavour/tof/bottom,0,0.0,0.0,99.0,0.2160000056028366
1728920419.1838639,1829,1728920419,163953304,endeavour/tof/bottom,0,0.0,0.0,99.0,0.21400000154972076
1728920419.2208164,1830,1728920419,200096368,endeavour/tof/bottom,0,0.0,0.0,99.0,0.21400000154972076
1728920419.2554216,1831,1728920419,235651016,endeavour/tof/bottom,0,0.0,0.0,99.0,0.20800000429153442
